user_id,application_id,permission_id
1,28,242
1,22,188
1,18,152
1,9,68
1,28,245
1,28,244
1,27,234
1,18,153
1,46,404
1,32,283
2,19,160
2,21,179
2,37,323
3,28,242
3,22,188
3,18,152
3,9,68
3,28,245
3,28,244
3,27,234
4,37,325
4,37,322
4,40,345
5,13,104
5,11,90
5,30,269
5,12,95
5,13,111
6,19,160
6,21,179
7,28,242
7,22,188
7,18,152
7,9,68
7,28,245
7,28,244
7,27,234
8,29,262
8,28,254
8,19,156
9,30,266
9,19,160
9,21,179
9,37,323
10,22,188
10,18,147
11,28,242
11,22,188
11,18,152
11,9,68
11,28,245
11,28,244
11,27,234
12,27,233
12,46,401
12,28,243
12,28,255
13,22,188
13,18,147
14,33,293
14,19,160
14,21,179
14,37,323
15,27,233
15,28,255
16,28,242
16,22,188
16,18,152
16,9,68
16,28,245
16,28,244
16,27,234
17,13,104
17,11,90
17,30,269
17,12,95
17,13,111
18,37,325
18,29,263
18,39,340
18,37,322
18,40,345
19,19,160
19,21,179
19,37,323
20,28,242
20,22,188
20,18,152
20,9,68
20,28,245
20,28,244
20,27,234
21,22,188
21,18,152
21,9,68
21,28,245
21,28,244
21,27,234
22,37,325
22,46,404
22,39,340
22,37,322
22,40,345
23,37,325
23,39,340
23,37,322
23,40,345
24,11,91
24,13,107
24,8,62
24,7,54
24,8,64
24,7,56
24,7,53
25,19,160
25,21,179
25,37,323
26,13,104
26,11,90
26,30,269
26,12,95
26,13,111
27,13,104
27,11,90
27,40,347
27,30,269
27,12,95
27,13,111
28,28,242
28,18,152
28,9,68
28,28,245
28,28,244
28,38,336
28,27,234
29,28,242
29,22,188
29,18,152
29,9,68
29,28,245
29,33,293
29,28,244
29,27,234
30,27,233
30,28,243
30,28,255
30,27,237
31,37,325
31,39,340
31,37,322
31,40,345
32,29,262
32,28,254
32,19,156
33,22,188
33,18,147
34,28,242
34,22,188
34,18,152
34,9,68
34,28,244
34,27,234
35,29,262
35,28,254
35,19,156
36,28,242
36,22,188
36,18,152
36,28,245
36,28,244
36,27,234
37,27,233
37,28,243
37,28,255
38,27,233
38,28,243
38,28,255
39,27,233
39,28,243
39,28,255
40,28,242
40,22,188
40,18,152
40,28,245
40,28,244
40,27,234
41,22,188
41,18,147
41,8,61
42,13,104
42,11,90
42,30,269
42,12,95
42,13,111
43,11,91
43,13,107
43,8,62
43,40,347
43,8,64
43,7,56
43,7,53
44,27,233
44,28,243
44,28,255
44,37,322
45,19,160
45,21,179
45,37,323
46,28,242
46,22,188
46,18,152
46,9,68
46,28,245
46,28,244
46,27,234
47,11,91
47,13,107
47,8,62
47,7,54
47,8,64
47,7,56
47,7,53
48,28,242
48,22,188
48,18,152
48,9,68
48,28,245
48,28,244
48,30,266
48,27,234
49,28,242
49,22,188
49,18,152
49,9,68
49,28,245
49,28,244
49,27,231
49,27,234
50,28,242
50,22,188
50,18,152
50,9,68
50,28,245
50,28,244
50,27,234
51,13,104
51,11,90
51,30,269
51,12,95
51,13,111
52,27,233
52,28,243
52,28,255
52,37,322
53,13,104
53,11,90
53,12,95
53,13,111
54,37,325
54,39,340
54,37,322
54,40,345
55,28,242
55,22,188
55,18,152
55,9,68
55,28,245
55,27,230
55,27,234
56,29,262
56,28,254
56,19,156
57,28,242
57,22,188
57,9,68
57,28,245
57,28,244
57,38,326
57,27,234
58,37,325
58,39,340
58,37,322
58,40,345
59,28,242
59,22,188
59,18,152
59,9,68
59,28,245
59,6,51
59,27,234
60,37,325
60,39,340
60,37,322
60,40,345
61,33,293
61,19,160
61,21,179
61,37,323
62,28,242
62,22,188
62,18,152
62,9,68
62,28,245
62,27,230
62,28,244
62,27,234
63,28,242
63,22,188
63,18,152
63,9,68
63,28,245
63,28,244
63,27,234
64,37,325
64,39,340
64,37,322
64,40,345
65,28,242
65,22,188
65,18,152
65,28,245
65,13,104
65,28,244
65,27,234
66,27,233
66,13,104
66,28,243
66,28,255
67,13,104
67,11,90
67,30,269
67,12,95
67,13,111
67,37,322
68,28,242
68,22,188
68,18,152
68,9,68
68,28,245
68,42,373
68,28,244
68,27,234
69,11,90
69,30,269
69,12,95
69,13,111
70,28,242
70,22,188
70,18,152
70,9,68
70,28,245
70,28,244
70,27,234
71,28,242
71,22,188
71,18,152
71,9,68
71,28,245
71,11,90
71,28,244
71,27,234
72,27,233
72,28,243
72,28,255
72,11,90
73,28,242
73,22,188
73,18,152
73,9,68
73,28,245
73,28,244
73,27,234
73,48,423
73,34,302
73,29,261
73,20,167
73,10,79
74,37,325
74,39,340
74,37,322
74,40,345
75,13,104
75,11,90
75,30,269
75,12,95
75,13,111
76,19,160
76,21,179
77,19,160
77,21,179
77,37,323
78,46,409
78,22,188
78,18,147
79,28,242
79,22,188
79,18,152
79,9,68
79,28,245
79,28,244
79,27,234
80,19,160
80,21,179
80,46,404
80,37,323
81,11,91
81,13,107
81,8,62
81,7,54
81,8,64
81,7,56
81,7,53
82,28,242
82,22,188
82,18,152
82,9,68
82,28,245
82,28,244
82,27,234
83,37,325
83,38,331
