Role,Permission,Frequency,Meets_Impact_Threshold
Role_0,6,0.9972677595628415,True
Role_0,19,1.0,True
Role_0,22,0.9918032786885246,True
Role_0,30,0.9972677595628415,True
Role_1,151,0.9833068362480127,True
Role_1,248,0.9848966613672496,True
Role_1,262,0.9825119236883942,True
Role_1,263,0.9904610492845787,True
Role_1,282,0.9880763116057234,True
Role_1,306,0.985691573926868,True
Role_1,307,0.9872813990461049,True
Role_2,131,0.9843400447427293,True
Role_2,133,0.9910514541387024,True
Role_2,147,0.9798657718120806,True
Role_2,148,0.9821029082774049,True
Role_2,151,0.9865771812080537,True
Role_2,176,0.9843400447427293,True
Role_2,191,0.9865771812080537,True
Role_3,305,1.0,True
Role_3,328,1.0,True
Role_3,345,1.0,True
Role_4,9,1.0,True
Role_4,305,1.0,True
Role_4,308,1.0,True
Role_5,234,0.9850746268656716,True
Role_5,289,1.0,True
Role_5,312,1.0,True
Role_6,155,0.9835051546391752,True
Role_6,175,0.9876288659793815,True
Role_6,180,0.9896907216494846,True
Role_6,187,0.9917525773195877,True
Role_6,191,0.9896907216494846,True
Role_6,324,0.9917525773195877,True
Role_7,305,1.0,True
Role_7,328,1.0,True
Role_7,345,1.0,True
Role_8,9,1.0,True
Role_8,305,0.9523809523809523,True
Role_8,308,1.0,True
Role_9,9,1.0,True
Role_9,305,1.0,True
Role_9,308,1.0,True
Role_10,234,1.0,True
Role_10,289,1.0,True
Role_10,312,1.0,True
Role_11,39,1.0,True
Role_11,305,1.0,True
Role_11,328,1.0,True
Role_11,345,1.0,True
Role_12,9,1.0,True
Role_12,305,1.0,True
Role_12,328,1.0,True
Role_12,345,1.0,True
Role_13,9,1.0,True
Role_13,15,1.0,True
Role_13,305,1.0,True
Role_13,308,1.0,True
Role_14,305,1.0,True
Role_14,328,1.0,True
Role_14,345,1.0,True
Role_15,30,1.0,True
Role_15,305,1.0,True
Role_15,328,1.0,True
Role_15,345,1.0,True
Role_16,30,1.0,True
Role_16,175,1.0,True
Role_16,180,1.0,True
Role_16,187,1.0,True
Role_16,191,1.0,True
Role_16,324,1.0,True
Role_17,15,1.0,True
Role_17,305,1.0,True
Role_17,328,1.0,True
Role_17,345,1.0,True
Role_18,9,1.0,True
Role_18,66,1.0,True
Role_18,305,1.0,True
Role_18,308,1.0,True
Role_19,234,1.0,True
Role_19,289,1.0,True
Role_19,312,1.0,True
Role_20,9,1.0,True
Role_20,305,1.0,True
Role_20,308,1.0,True
Role_21,6,1.0,True
Role_21,15,0.9230769230769231,True
Role_21,19,1.0,True
Role_21,22,1.0,True
Role_21,30,1.0,True
Role_23,30,1.0,True
Role_23,234,1.0,True
Role_23,289,1.0,True
Role_23,312,1.0,True
Role_25,9,1.0,True
Role_25,117,1.0,True
Role_25,305,1.0,True
Role_25,328,1.0,True
Role_25,345,1.0,True
Role_26,52,1.0,True
Role_26,305,1.0,True
Role_26,328,1.0,True
Role_26,345,1.0,True
Role_28,6,1.0,True
Role_28,19,1.0,True
Role_28,22,1.0,True
Role_28,30,1.0,True
Role_29,52,1.0,True
Role_29,234,1.0,True
Role_29,289,1.0,True
Role_29,312,1.0,True
Role_30,9,1.0,True
Role_30,66,1.0,True
Role_30,305,1.0,True
Role_30,308,1.0,True
Role_31,6,1.0,True
Role_31,19,1.0,True
Role_31,22,1.0,True
Role_31,30,1.0,True
Role_32,305,1.0,True
Role_32,328,1.0,True
Role_32,345,1.0,True
Role_33,9,1.0,True
Role_33,30,1.0,True
Role_33,305,1.0,True
Role_33,308,1.0,True
